county_name,Drop Box Score,Ease of Registration,Local Post Office,Registered Voter Info,Registration Drive,Registration Info,Standard Mail,State Support,Technology State Funding,Vote Center Score,Voting Info,pollworkers
"Allegany County, Maryland",1,6,0,3,1,5,1,2,1,0,5,4
"Anne Arundel County, Maryland",1,6,0,3,1,5,1,1,1,0,5,5
"Baltimore County, Maryland",1,6,0,3,1,5,1,1,1,0,5,5
"Calvert County, Maryland",1,6,1,3,1,5,1,2,1,0,5,5
"Caroline County, Maryland",1,5,1,3,0,5,1,2,1,0,5,6
"Carroll County, Maryland",1,5,1,3,0,5,1,2,1,0,5,4
"Cecil County, Maryland",1,5,1,3,0,5,1,2,1,0,5,5
"Charles County, Maryland",1,6,0,3,1,5,1,2,1,0,5,4
"Dorchester County, Maryland",1,6,2,3,0,5,1,2,1,0,5,4
"Frederick County, Maryland",1,6,0,3,1,5,1,2,1,0,5,5
"Garrett County, Maryland",1,6,2,3,0,4,1,2,1,0,4,4
"Harford County, Maryland",1,6,0,3,1,5,1,2,1,0,5,4
"Howard County, Maryland",1,6,0,3,0,5,1,1,1,0,5,3
"Kent County, Maryland",1,6,1,3,1,5,1,2,1,0,5,5
"Montgomery County, Maryland",1,6,0,3,1,5,1,1,1,0,5,5
"Prince George's County, Maryland",1,6,0,3,1,5,1,1,1,0,5,5
"Queen Anne's County, Maryland",1,6,2,3,0,4,1,2,1,0,4,4
"St. Mary's County, Maryland",1,6,1,3,1,5,1,2,1,0,5,4
"Somerset County, Maryland",1,6,2,3,0,5,1,2,1,0,5,3
"Talbot County, Maryland",1,6,1,3,0,5,1,2,1,0,5,4
"Washington County, Maryland",1,6,1,3,0,5,1,2,1,0,5,4
"Wicomico County, Maryland",1,6,0,3,0,5,1,2,1,0,5,4
"Worcester County, Maryland",1,6,2,3,1,5,1,2,1,0,5,4
"Baltimore city, Maryland",1,6,0,3,1,5,1,1,1,0,5,4
